Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1517.4177156306494
FDW14,OUT017,1516.1011424122769
NCN55,OUT010,825.3317707867946
FDQ58,OUT017,2393.890307702045
FDY38,OUT027,5956.220122744562
FDH56,OUT046,2019.773138375126
FDL48,OUT018,776.005333740587
FDC48,OUT027,3009.1322077529107
FDN33,OUT045,1568.5223428706406
FDA36,OUT017,2864.7665055409075
FDT44,OUT017,1963.4649565567545
FDQ56,OUT045,1631.971881766961
NCC54,OUT019,977.5996872829053
FDU11,OUT049,2148.354907839943
DRL59,OUT013,918.8876001836145
FDM24,OUT049,2361.813067416302
FDI57,OUT045,3037.139985599767
DRC12,OUT018,2569.1672195839005
NCM42,OUT027,2942.478119645463
FDA46,OUT010,696.1699461731622
FDA31,OUT013,3156.3337850089347
NCJ31,OUT035,3610.1646045974394
FDG52,OUT046,839.3603445288295
NCL19,OUT019,355.71384069843936
FDS10,OUT035,2845.078414462825
FDX22,OUT010,740.1744899569316
NCF19,OUT035,730.0603533259875
NCE06,OUT046,2413.914697955184
DRC27,OUT046,3709.236084214101
FDE21,OUT035,2339.5733482998367
NCR42,OUT019,-94.40723311971949
FDX51,OUT018,2836.37497047182
NCR06,OUT018,571.8536262292117
FDU31,OUT027,5540.196369443277
FDU59,OUT017,2665.5860414913004
FDR03,OUT027,5269.986485579858
FDS49,OUT027,2993.6931863785153
FDD48,OUT010,194.423356693853
NCF18,OUT017,2929.6577399910248
NCD43,OUT027,3047.564740363013
NCD54,OUT018,1877.710800697081
FDY19,OUT010,379.96445539559033
NCY54,OUT017,2797.3412437420125
NCL19,OUT018,2207.6991284294145
FDP23,OUT010,776.7764233045264
FDC26,OUT013,1763.2509812001983
FDR14,OUT010,102.07252952316738
NCS41,OUT035,3180.304799779851
FDF41,OUT035,3858.217298703708
FDU34,OUT046,2112.6930487884993
DRH11,OUT046,1102.7026254394739
FDM03,OUT013,1688.9727698260026
FDS31,OUT017,3096.345565662416
FDJ20,OUT017,1924.8788584049087
FDV44,OUT027,5004.7912417380685
FDG02,OUT049,3389.3216807051176
FDA09,OUT013,3234.499173179441
FDT04,OUT013,696.1620293531538
FDL58,OUT019,2246.111915754444
FDE52,OUT045,1697.535489759837
FDW12,OUT035,2502.1434338100494
FDL51,OUT017,3266.7858960555345
NCY42,OUT027,3508.2014411707337
FDR07,OUT017,1559.4874925135418
